ScoreId,GameId,PlayerId,Rank,RawScore,Score,
712,165,98,1,0,40,
713,165,23,2,0,10,
714,165,4,3,0,-6,
715,165,61,4,0,-44,
716,166,52,1,0,28,
717,166,13,2,0,14,
718,166,84,3,0,-2,
719,166,16,4,0,-40,
720,167,55,1,0,25,
721,167,84,2,0,11,
722,167,66,3,0,-6,
723,167,45,4,0,-30,
724,168,61,1,0,34,
725,168,12,2,0,16,
726,168,88,3,0,-13,
727,168,70,4,0,-37,
728,169,47,1,0,46,
729,169,9,2,0,22,
730,169,23,3,0,-7,
731,169,6,4,0,-18,
732,169,52,5,0,-43,
733,170,18,1,0,46,
734,170,39,2,0,28,
735,170,24,3,0,-7,
736,170,42,4,0,-28,
737,170,16,5,0,-39,
738,171,84,1,0,39,
739,171,98,2,0,14,
740,171,61,3,0,4,
741,171,70,4,0,-10,
742,171,47,5,0,-47,
743,172,9,1,0,38,
744,172,23,2,0,17,
745,172,24,3,0,1,
746,172,16,4,0,-11,
747,172,18,5,0,-45,
748,173,21,1,0,39,
749,173,4,2,0,29,
750,173,55,3,0,-7,
751,173,42,4,0,-18,
752,173,66,5,0,-43,
753,174,84,1,0,35,
754,174,23,2,0,14,
755,174,16,3,0,-15,
756,174,6,4,0,-34,
757,175,66,1,0,33,
758,175,9,2,0,11,
759,175,21,3,0,-3,
760,175,83,4,0,-41,
761,176,42,1,0,47,
762,176,39,2,0,12,
763,176,70,3,0,-17,
764,176,18,4,0,-42,
765,177,57,1,0,28,
766,177,52,2,0,17,
767,177,88,3,0,-18,
768,177,61,4,0,-27,
769,178,98,1,0,30,
770,178,4,2,0,16,
771,178,24,3,0,-4,
772,178,59,4,0,-42,
773,179,47,1,0,46,
774,179,98,2,0,28,
775,179,4,3,0,3,
776,179,52,4,0,-29,
777,179,45,5,0,-48,
778,180,9,1,0,39,
779,180,18,2,0,22,
780,180,66,3,0,3,
781,180,84,4,0,-27,
782,180,42,5,0,-37,
783,181,57,1,0,39,
784,181,24,2,0,29,
785,181,70,3,0,12,
786,181,21,4,0,-34,
787,181,55,5,0,-46,
788,182,4,1,0,29,
789,182,84,2,0,4,
790,182,70,3,0,-11,
791,182,83,4,0,-22,
792,183,47,1,0,27,
793,183,38,2,0,17,
794,183,13,3,0,-4,
795,183,57,4,0,-40,
796,184,98,1,0,33,
797,184,61,2,0,22,
798,184,23,3,0,-5,
799,184,66,4,0,-50,
800,185,18,1,0,37,
801,185,9,2,0,8,
802,185,21,3,0,-12,
803,185,42,4,0,-33,
804,186,55,1,0,27,
805,186,24,2,0,16,
806,186,52,3,0,5,
807,186,16,4,0,-48,
808,187,70,1,0,46,
809,187,84,2,0,24,
810,187,52,3,0,1,
811,187,54,4,0,-25,
812,187,16,5,0,-46,
813,188,23,1,0,48,
814,188,45,2,0,6,
815,188,6,3,0,-15,
816,188,55,4,0,-39,
817,189,9,1,0,47,
818,189,98,2,0,36,
819,189,61,3,0,-13,
820,189,47,4,0,-25,
821,189,42,5,0,-45,
822,190,18,1,0,28,
823,190,39,2,0,16,
824,190,21,3,0,-1,
825,190,4,4,0,-13,
826,190,57,5,0,-30,
827,191,57,1,0,67,
828,191,38,2,0,22,
829,191,89,3,0,4,
830,191,39,4,0,-18,
831,191,4,5,0,-75,
832,192,13,1,0,29,
833,192,23,2,0,16,
834,192,84,3,0,-5,
835,192,70,4,0,-40,
836,193,21,1,0,24,
837,193,42,2,0,8,
838,193,12,3,0,-3,
839,193,55,4,0,-29,
840,194,52,1,0,33,
841,194,24,2,0,14,
842,194,61,3,0,-5,
843,194,9,4,0,-42,
844,195,13,1,0,46,
845,195,47,2,0,13,
846,195,61,3,0,-15,
847,195,45,4,0,-44,
848,196,70,1,0,24,
849,196,84,2,0,10,
850,196,6,3,0,0,
851,196,9,4,0,-34,
852,197,66,1,0,32,
853,197,23,2,0,19,
854,197,55,3,0,6,
855,197,24,4,0,-10,
856,197,12,5,0,-47,
857,198,89,1,0,22,
858,198,57,2,0,7,
859,198,39,3,0,-7,
860,198,42,4,0,-22,
861,199,38,1,0,34,
862,199,4,2,0,12,
863,199,98,3,0,0,
864,199,52,4,0,-16,
865,199,21,5,0,-30,
866,200,47,1,0,48,
867,200,61,2,0,3,
868,200,45,3,0,-19,
869,200,13,4,0,-32,
870,201,42,1,0,33,
871,201,84,2,0,20,
872,201,23,3,0,7,
873,201,31,4,0,-19,
874,201,98,5,0,-41,
875,202,9,1,0,76,
876,202,4,2,0,12,
877,202,45,3,0,-8,
878,202,61,4,0,-30,
879,202,52,5,0,-50,
880,203,70,1,0,55,
881,203,55,2,0,20,
882,203,57,3,0,-9,
883,203,39,4,0,-24,
884,203,47,5,0,-42,
885,204,89,1,0,54,
886,204,61,2,0,12,
887,204,57,3,0,-25,
888,204,23,4,0,-41,
889,205,98,1,0,29,
890,205,52,2,0,13,
891,205,21,3,0,-11,
892,205,4,4,0,-31,
893,206,9,1,0,40,
894,206,84,2,0,8,
895,206,42,3,0,-8,
896,206,70,4,0,-40,
897,207,39,1,0,26,
898,207,55,2,0,10,
899,207,66,3,0,-4,
900,207,47,4,0,-32,
901,208,98,1,0,35,
902,208,48,2,0,14,
903,208,4,3,0,1,
904,208,55,4,0,-13,
905,208,45,5,0,-37,
906,209,70,1,0,59,
907,209,66,2,0,15,
908,209,52,3,0,0,
909,209,83,4,0,-21,
910,209,61,5,0,-53,
911,210,84,1,0,30,
912,210,39,2,0,12,
913,210,47,3,0,0,
914,210,43,4,0,-12,
915,210,57,5,0,-30,
916,211,4,1,0,29,
917,211,42,2,0,5,
918,211,55,3,0,-12,
919,211,9,4,0,-22,
920,212,98,1,0,31,
921,212,39,2,0,9,
922,212,23,3,0,-5,
923,212,21,4,0,-35,
924,213,6,1,0,43,
925,213,45,2,0,12,
926,213,52,3,0,-13,
927,213,84,4,0,-42,
928,214,70,1,0,34,
929,214,47,2,0,14,
930,214,61,3,0,-16,
931,214,71,4,0,-32,
932,215,42,1,0,37,
933,215,47,2,0,26,
934,215,70,3,0,7,
935,215,6,4,0,-24,
936,215,9,5,0,-46,
937,216,4,1,0,29,
938,216,23,2,0,13,
939,216,84,3,0,-10,
940,216,71,4,0,-32,
941,217,98,1,0,42,
942,217,52,2,0,16,
943,217,61,3,0,-3,
944,217,55,4,0,-14,
945,217,31,5,0,-41,
946,218,4,1,0,32,
947,218,83,2,0,13,
948,218,71,3,0,-2,
949,218,52,4,0,-43,
950,219,47,1,0,26,
951,219,6,2,0,7,
952,219,55,3,0,-6,
953,219,23,4,0,-27,
954,220,39,1,0,39,
955,220,9,2,0,9,
956,220,83,3,0,-18,
957,220,90,4,0,-30,
958,221,45,1,0,45,
959,221,42,2,0,8,
960,221,98,3,0,-21,
961,221,12,4,0,-32,
962,222,23,1,0,38,
963,222,6,2,0,26,
964,222,47,3,0,-12,
965,222,55,4,0,-52,
966,223,23,1,0,30,
967,223,55,2,0,19,
968,223,90,3,0,6,
969,223,84,4,0,-5,
970,223,98,5,0,-50,
971,224,9,1,0,49,
972,224,39,2,0,2,
973,224,6,3,0,-19,
974,224,52,4,0,-32,
975,225,42,1,0,47,
976,225,61,2,0,20,
977,225,71,3,0,0,
978,225,4,4,0,-22,
979,225,45,5,0,-45,
980,226,13,1,0,40,
981,226,47,2,0,9,
982,226,12,3,0,-8,
983,226,71,4,0,-41,
984,227,84,1,0,28,
985,227,55,2,0,11,
986,227,39,3,0,-14,
987,227,4,4,0,-25,
988,228,83,1,0,30,
989,228,45,2,0,16,
990,228,48,3,0,5,
991,228,23,4,0,-17,
992,228,9,5,0,-34,
993,229,71,1,0,32,
994,229,12,2,0,13,
995,229,13,3,0,-7,
996,229,47,4,0,-38,
997,230,61,1,0,41,
998,230,98,2,0,25,
999,230,52,3,0,-28,
1000,230,31,4,0,-38,
1001,231,9,1,0,53,
1002,231,45,2,0,11,
1003,231,98,3,0,-8,
1004,231,55,4,0,-19,
1005,231,47,5,0,-37,
1006,232,6,1,0,33,
1007,232,83,2,0,16,
1008,232,90,3,0,5,
1009,232,84,4,0,-6,
1010,232,13,5,0,-48,
1011,233,52,1,0,29,
1012,233,23,2,0,10,
1013,233,39,3,0,-3,
1014,233,71,4,0,-36,
1015,234,4,1,0,35,
1016,234,61,2,0,18,
1017,234,12,3,0,-7,
1018,234,42,4,0,-46,
1019,235,52,1,0,37,
1020,235,55,2,0,26,
1021,235,4,3,0,2,
1022,235,98,4,0,-26,
1023,235,84,5,0,-39,
